observable,time,time_units,average,stderr,amount_units,expt_id,alt_expt_id
Tumor_BLI,0,day,6.06,0.1455,log10(photons/sec),Blake_2014_A,MDA-231-RANK
Tumor_BLI,1,day,6.504,0.1285,log10(photons/sec),Blake_2014_A,MDA-231-RANK
Tumor_BLI,5,day,6.316,0.0985,log10(photons/sec),Blake_2014_A,MDA-231-RANK
Tumor_BLI,11,day,6.983,0.1495,log10(photons/sec),Blake_2014_A,MDA-231-RANK
Tumor_BLI,17,day,7.444,0.154,log10(photons/sec),Blake_2014_A,MDA-231-RANK
Tumor_BLI,25,day,8.085,0.12,log10(photons/sec),Blake_2014_A,MDA-231-RANK
Tumor_BLI,32,day,8.667,0.2095,log10(photons/sec),Blake_2014_A,MDA-231-RANK
Tumor_BLI,39,day,9.077,0.2005,log10(photons/sec),Blake_2014_A,MDA-231-RANK
Tumor_BLI,47,day,9.504,0.154,log10(photons/sec),Blake_2014_A,MDA-231-RANK
Tumor_BLI,0,day,6.043,0.1325,log10(photons/sec),Blake_2014_A,MDA-231-ATCC
Tumor_BLI,1,day,6.581,0.175,log10(photons/sec),Blake_2014_A,MDA-231-ATCC
Tumor_BLI,5,day,6.342,0.107,log10(photons/sec),Blake_2014_A,MDA-231-ATCC
Tumor_BLI,11,day,6.838,0.124,log10(photons/sec),Blake_2014_A,MDA-231-ATCC
Tumor_BLI,17,day,7.333,0.1285,log10(photons/sec),Blake_2014_A,MDA-231-ATCC
Tumor_BLI,25,day,7.709,0.1795,log10(photons/sec),Blake_2014_A,MDA-231-ATCC
Tumor_BLI,32,day,7.88,0.1625,log10(photons/sec),Blake_2014_A,MDA-231-ATCC
Tumor_BLI,39,day,8.248,0.2095,log10(photons/sec),Blake_2014_A,MDA-231-ATCC
Tumor_BLI,47,day,8.393,0.201,log10(photons/sec),Blake_2014_A,MDA-231-ATCC
Tumor_BLI,4,day,5.979,0.091,log10(photons/sec),Blake_2014_B,PBS-Tumor Control
Tumor_BLI,11,day,6.828,0.0995,log10(photons/sec),Blake_2014_B,PBS-Tumor Control
Tumor_BLI,18,day,7.426,0.104,log10(photons/sec),Blake_2014_B,PBS-Tumor Control
Tumor_BLI,25,day,8.016,0.1085,log10(photons/sec),Blake_2014_B,PBS-Tumor Control
Tumor_BLI,32,day,8.605,0.1515,log10(photons/sec),Blake_2014_B,PBS-Tumor Control
Tumor_BLI,39,day,9.107,0.191,log10(photons/sec),Blake_2014_B,PBS-Tumor Control
Tumor_BLI,46,day,9.402,0.1345,log10(photons/sec),Blake_2014_B,PBS-Tumor Control
Tumor_BLI,4,day,5.841,0.1,log10(photons/sec),Blake_2014_C,ZOL 1 mg/kg (1x/week) Preventative
Tumor_BLI,11,day,6.369,0.1125,log10(photons/sec),Blake_2014_C,ZOL 1 mg/kg (1x/week) Preventative
Tumor_BLI,18,day,6.967,0.195,log10(photons/sec),Blake_2014_C,ZOL 1 mg/kg (1x/week) Preventative
Tumor_BLI,25,day,7.6,0.169,log10(photons/sec),Blake_2014_C,ZOL 1 mg/kg (1x/week) Preventative
Tumor_BLI,32,day,8.224,0.1865,log10(photons/sec),Blake_2014_C,ZOL 1 mg/kg (1x/week) Preventative
Tumor_BLI,39,day,8.596,0.147,log10(photons/sec),Blake_2014_C,ZOL 1 mg/kg (1x/week) Preventative
Tumor_BLI,46,day,8.96,0.117,log10(photons/sec),Blake_2014_C,ZOL 1 mg/kg (1x/week) Preventative
Tumor_BLI,4,day,5.979,0.104,log10(photons/sec),Blake_2014_D,OPG-Fc 3 mg/kg (3x/week) Preventative
Tumor_BLI,11,day,6.378,0.1125,log10(photons/sec),Blake_2014_D,OPG-Fc 3 mg/kg (3x/week) Preventative
Tumor_BLI,18,day,6.846,0.1605,log10(photons/sec),Blake_2014_D,OPG-Fc 3 mg/kg (3x/week) Preventative
Tumor_BLI,25,day,7.175,0.108,log10(photons/sec),Blake_2014_D,OPG-Fc 3 mg/kg (3x/week) Preventative
Tumor_BLI,32,day,7.634,0.1475,log10(photons/sec),Blake_2014_D,OPG-Fc 3 mg/kg (3x/week) Preventative
Tumor_BLI,39,day,7.92,0.147,log10(photons/sec),Blake_2014_D,OPG-Fc 3 mg/kg (3x/week) Preventative
Tumor_BLI,46,day,8.293,0.1645,log10(photons/sec),Blake_2014_D,OPG-Fc 3 mg/kg (3x/week) Preventative